transaction_id,date,customer_id,merchant,category,amount,payment_mode
TXN00051,2025-09-20,CUST014,Hall-Murphy,utilities,34.4,credit card
TXN00052,2026-05-26,CUST033,Keller LLC,groceries,549.4,net banking
TXN00053,2026-01-03,CUST036,Freeman-Williams,dining,635.6,net banking
TXN00054,2025-12-26,CUST014,White-Kirby,shopping,158.81,UPI
TXN00055,2025-09-29,CUST020,"Blackwell, Berry and Johnson",dining,739.48,net banking
TXN00056,2026-02-20,CUST017,"Hill, Robinson and Knight",dining,39.1,debit card
TXN00057,2026-03-27,CUST015,"Decker, Flores and Davis",travel,559.35,net banking
TXN00058,2026-01-11,CUST012,Mclaughlin-Maxwell,dining,256.98,net banking
TXN00059,2025-07-16,CUST050,"Miller, Raymond and Banks",entertainment,759.0,net banking
TXN00060,2026-03-16,CUST009,Lawrence PLC,shopping,273.89,credit card
TXN00061,2026-03-09,CUST032,Hill and Sons,travel,230.94,credit card
TXN00062,2025-11-08,CUST046,"Williams, Wilson and Harris",entertainment,96.2,net banking
TXN00063,2026-05-03,CUST024,"Allen, Harrington and Melendez",dining,513.07,UPI
TXN00064,2025-06-19,CUST003,Smith Ltd,utilities,389.33,credit card
TXN00065,2025-07-06,CUST002,Davenport-Spencer,shopping,57.65,net banking
TXN00066,2025-07-19,CUST047,Jackson-Hamilton,utilities,372.66,UPI
TXN00067,2026-01-05,CUST002,Franklin Group,dining,689.65,UPI
TXN00068,2026-02-25,CUST022,"White, King and Smith",entertainment,965.93,UPI
TXN00069,2025-08-01,CUST019,Richards PLC,entertainment,243.96,debit card
TXN00070,2025-12-30,CUST032,Davenport-Garcia,utilities,95.73,net banking
TXN00071,2025-07-15,CUST044,"Hudson, Franco and Little",shopping,232.63,debit card
TXN00072,2025-11-11,CUST047,Montes and Sons,entertainment,168.53,debit card
TXN00073,2026-04-02,CUST002,Andrews-Kirk,utilities,69.29,UPI
TXN00074,2026-05-05,CUST044,Landry-Sanchez,utilities,244.29,debit card
TXN00075,2026-05-05,CUST029,"Gonzalez, Wilson and Wright",shopping,767.37,net banking
TXN00076,2026-01-01,CUST028,"Harris, Rogers and Larson",groceries,679.3,UPI
TXN00077,2025-11-11,CUST045,Odonnell-Kirk,utilities,424.21,net banking
TXN00078,2025-08-23,CUST008,Conner-Cole,groceries,963.47,debit card
TXN00079,2026-06-09,CUST007,"Wagner, Lopez and Miller",utilities,110.55,debit card
TXN00080,2025-06-22,CUST003,Robertson-Vasquez,shopping,621.44,net banking
TXN00081,2026-06-07,CUST018,"Nolan, Petty and Pierce",dining,306.96,UPI
TXN00082,2025-07-31,CUST001,Coleman-Gregory,dining,85.85,UPI
TXN00083,2025-07-20,CUST038,Vargas-Murray,groceries,262.22,credit card
TXN00084,2026-02-17,CUST018,"Rice, Cannon and Warren",dining,874.88,net banking
TXN00085,2026-01-15,CUST039,"Bray, Jones and Madden",utilities,715.76,debit card
TXN00086,2025-08-24,CUST022,Castillo-Thomas,travel,357.46,net banking
TXN00087,2026-03-14,CUST040,"Fields, Drake and Wright",shopping,117.97,net banking
TXN00088,2026-01-16,CUST047,Carey-Smith,groceries,359.91,net banking
TXN00089,2026-03-20,CUST048,"Ferguson, Garcia and Clayton",travel,810.25,credit card
TXN00090,2026-02-23,CUST013,Cooley-Weber,groceries,508.17,UPI
TXN00091,2026-04-11,CUST008,Klein Group,utilities,507.67,credit card
TXN00092,2025-12-24,CUST017,Smith-Kelly,entertainment,261.75,debit card
TXN00093,2026-04-24,CUST036,Smith LLC,travel,649.12,debit card
TXN00094,2025-08-25,CUST021,"King, Robertson and Shah",utilities,209.51,UPI
TXN00095,2026-03-02,CUST033,Williams-Maldonado,shopping,918.07,net banking
TXN00096,2026-06-07,CUST002,Taylor Ltd,dining,147.99,UPI
TXN00097,2025-07-09,CUST044,Calderon-Walls,groceries,956.47,debit card
TXN00098,2025-07-29,CUST010,Cole and Sons,entertainment,551.04,debit card
TXN00099,2025-10-06,CUST047,Hardy and Sons,entertainment,287.8,UPI
TXN00100,2026-05-08,CUST021,Mills LLC,travel,494.65,net banking
TXN00101,2026-04-29,CUST004,"Knight, Garza and Roberts",travel,564.24,net banking
TXN00102,2025-10-26,CUST032,Terry-Martinez,groceries,406.58,UPI
TXN00103,2025-08-13,CUST016,"Sims, Johnson and Brown",dining,872.6,credit card
TXN00104,2025-12-13,CUST006,Kelly-Edwards,shopping,719.52,credit card
TXN00105,2025-08-08,CUST038,Cruz-Campbell,groceries,142.71,debit card
TXN00106,2025-12-09,CUST031,"Murphy, Ware and Frost",entertainment,461.47,UPI
TXN00107,2026-06-14,CUST015,Hunter-Bowers,travel,476.67,net banking
TXN00108,2026-04-06,CUST038,Peters-Carpenter,entertainment,721.55,credit card
TXN00109,2025-07-21,CUST041,Bell-Garcia,dining,629.61,debit card
TXN00110,2025-08-08,CUST032,Knight-Odonnell,utilities,352.54,debit card
TXN00111,2026-04-27,CUST002,Small and Sons,entertainment,234.41,UPI
TXN00112,2025-08-12,CUST036,"Johnson, Ramirez and Lewis",utilities,981.31,UPI
TXN00113,2025-12-06,CUST034,Hall and Sons,travel,652.16,UPI
TXN00114,2026-02-20,CUST026,"Mckee, Martin and Kirby",utilities,12.48,debit card
TXN00115,2026-06-12,CUST014,Williamson-James,entertainment,368.7,credit card
TXN00116,2025-09-29,CUST034,"Castillo, Butler and Hernandez",groceries,948.26,net banking
TXN00117,2025-06-22,CUST040,Stevenson-Cunningham,entertainment,269.1,credit card
TXN00118,2026-01-10,CUST031,"Pacheco, Boyer and Fuentes",travel,26.83,credit card
TXN00119,2025-09-06,CUST014,Elliott Inc,utilities,281.26,net banking
TXN00120,2025-09-08,CUST018,Steele and Sons,dining,476.52,UPI
TXN00121,2026-01-14,CUST018,Thornton-Rice,entertainment,334.13,UPI
TXN00122,2026-03-09,CUST017,Fowler Group,utilities,623.25,net banking
TXN00123,2026-06-04,CUST046,Martinez Group,dining,438.91,credit card
TXN00124,2025-10-31,CUST039,"Ware, Rogers and Crane",utilities,388.44,net banking
TXN00125,2026-04-27,CUST019,Rodriguez Inc,travel,962.11,UPI
TXN00126,2026-01-21,CUST010,Baldwin-Collier,travel,106.67,debit card
TXN00127,2026-01-17,CUST020,"Long, Donaldson and Garcia",dining,269.91,credit card
TXN00128,2026-05-14,CUST045,Fields and Sons,dining,281.88,debit card
TXN00129,2025-08-22,CUST005,Davis-Harris,travel,219.87,net banking
TXN00130,2025-10-14,CUST014,"Grant, Friedman and Paul",shopping,554.38,credit card
TXN00131,2025-08-30,CUST046,Davis Group,travel,733.07,net banking
TXN00132,2026-01-20,CUST034,Mccarthy-Davis,utilities,960.75,UPI
TXN00133,2025-07-30,CUST012,Henry-Marshall,groceries,281.23,debit card
TXN00134,2025-09-14,CUST026,Mathis and Sons,dining,298.14,net banking
TXN00135,2025-08-27,CUST038,Mckay Group,entertainment,693.45,debit card
TXN00136,2025-11-29,CUST023,"Jenkins, Johnson and Cruz",shopping,478.37,UPI
TXN00137,2026-03-10,CUST043,Hughes-Wilson,groceries,912.68,UPI
TXN00138,2025-08-30,CUST035,Cooper Group,entertainment,527.24,net banking
TXN00139,2025-09-10,CUST015,Mccarthy Inc,groceries,358.25,UPI
TXN00140,2025-07-27,CUST021,Wells-Bell,dining,601.07,net banking
TXN00141,2025-07-19,CUST005,Johnson-Dodson,travel,506.88,net banking
TXN00142,2025-07-10,CUST026,Solis-Kent,dining,941.23,debit card
TXN00143,2025-10-19,CUST050,"Frey, Harrison and Gregory",utilities,700.84,credit card
TXN00144,2025-08-13,CUST025,Hawkins-Johnson,entertainment,738.82,UPI
TXN00145,2025-12-03,CUST035,"Mcbride, Owen and Duarte",groceries,272.94,net banking
TXN00146,2025-10-28,CUST026,Smith-Lucas,groceries,995.54,credit card
TXN00147,2025-10-11,CUST012,Underwood-Campbell,dining,356.97,debit card
TXN00148,2025-10-03,CUST026,Massey-Bryant,dining,197.36,UPI
TXN00149,2025-08-08,CUST046,"Perez, Ferrell and Cardenas",shopping,152.8,debit card
TXN00150,2025-06-23,CUST029,"Davis, Hernandez and Leonard",travel,400.52,UPI
TXN00151,2026-02-28,CUST030,Hardin-Garcia,entertainment,22.67,credit card
TXN00152,2025-12-01,CUST045,Brown-Fernandez,dining,620.59,debit card
TXN00153,2026-01-15,CUST039,Miller Group,travel,671.71,credit card
TXN00154,2025-11-30,CUST033,"Harmon, Sutton and Wu",shopping,754.47,net banking
TXN00155,2026-01-31,CUST010,"Hendricks, Wright and Campbell",travel,726.75,credit card
TXN00156,2026-03-07,CUST005,Bullock-Miller,utilities,183.25,UPI
TXN00157,2025-07-17,CUST022,Fields Inc,utilities,624.94,debit card
TXN00158,2026-01-19,CUST046,"Thomas, Everett and Martinez",shopping,531.55,debit card
TXN00159,2026-06-05,CUST010,Long Group,travel,536.24,UPI
TXN00160,2026-01-16,CUST024,"Munoz, Jenkins and Newton",dining,842.97,net banking
TXN00161,2026-04-29,CUST050,Thomas Ltd,shopping,21.84,net banking
TXN00162,2025-07-28,CUST014,Miller-Peck,travel,765.67,debit card
TXN00163,2025-07-01,CUST023,Gonzalez and Sons,entertainment,169.82,debit card
TXN00164,2025-11-24,CUST017,Bentley LLC,groceries,877.17,debit card
TXN00165,2026-06-10,CUST031,"Miller, Griffin and Mcgee",groceries,955.93,credit card
TXN00166,2026-04-02,CUST022,Smith PLC,travel,330.95,UPI
TXN00167,2026-01-20,CUST014,"Wright, Martin and Austin",dining,638.91,debit card
TXN00168,2026-04-27,CUST001,"Diaz, York and Williams",entertainment,180.89,credit card
TXN00169,2026-01-24,CUST038,Horn-Lowe,shopping,387.9,debit card
TXN00170,2025-12-21,CUST003,"Gonzalez, Alexander and Hall",shopping,248.1,debit card
TXN00171,2025-07-30,CUST006,Carroll-Wood,utilities,133.67,UPI
TXN00172,2025-12-05,CUST028,Gaines Ltd,utilities,93.53,credit card
TXN00173,2026-01-28,CUST005,Gonzalez-Good,groceries,21.17,UPI
TXN00174,2025-09-01,CUST027,Hernandez Group,dining,97.79,debit card
TXN00175,2025-07-29,CUST008,"Cole, Castro and Cooper",shopping,717.09,debit card
TXN00176,2025-11-17,CUST046,"Nash, Hill and Joseph",groceries,566.78,credit card
TXN00177,2025-07-23,CUST023,Lawson-Porter,utilities,886.42,credit card
TXN00178,2026-01-21,CUST010,Vazquez-Lloyd,entertainment,607.9,credit card
TXN00179,2026-01-31,CUST020,Sweeney-Duran,groceries,608.0,credit card
TXN00180,2025-07-12,CUST048,"Romero, Gray and Wagner",entertainment,88.11,debit card
TXN00181,2026-05-29,CUST017,"Shah, Cooper and Parker",utilities,147.81,credit card
TXN00182,2026-04-23,CUST023,"West, Coleman and Brown",shopping,458.37,net banking
TXN00183,2026-04-04,CUST049,Davis-Edwards,shopping,385.93,net banking
TXN00184,2026-01-22,CUST021,Washington PLC,travel,129.98,credit card
TXN00185,2026-06-05,CUST007,"Walker, Olson and Jacobs",dining,44.88,net banking
TXN00186,2026-05-15,CUST010,Reese-Smith,groceries,131.69,debit card
TXN00187,2025-07-25,CUST012,Wallace Group,dining,128.72,debit card
TXN00188,2025-09-30,CUST041,Simmons-Norton,entertainment,608.14,debit card
TXN00189,2026-04-28,CUST004,Bradshaw-Khan,utilities,706.88,net banking
TXN00190,2025-07-14,CUST049,Lee and Sons,travel,884.24,UPI
TXN00191,2025-10-04,CUST006,Newman-Bell,travel,272.02,net banking
TXN00192,2026-03-12,CUST023,Fry LLC,groceries,194.32,debit card
TXN00193,2026-02-06,CUST049,Brown-Parsons,entertainment,640.47,debit card
TXN00194,2025-10-16,CUST041,Lopez and Sons,entertainment,549.0,UPI
TXN00195,2025-10-09,CUST037,"Smith, Weeks and Smith",dining,720.42,net banking
TXN00196,2025-12-19,CUST007,"Hopkins, Wilson and Carter",shopping,745.47,UPI
TXN00197,2025-09-26,CUST012,"Morton, Klein and Kelly",shopping,612.86,debit card
TXN00198,2026-05-20,CUST005,"Jones, Macias and Beard",entertainment,903.07,credit card
TXN00199,2026-01-29,CUST024,French PLC,dining,368.17,debit card
TXN00200,2025-09-02,CUST002,"Curry, Fuller and Davis",groceries,985.96,debit card
TXN00201,2026-03-02,CUST004,Walker and Sons,utilities,679.15,net banking
TXN00202,2026-05-06,CUST029,Armstrong and Sons,entertainment,321.83,net banking
TXN00203,2026-01-21,CUST025,Roberts Inc,entertainment,679.64,net banking
TXN00204,2025-12-27,CUST040,Wright Inc,shopping,551.26,UPI
TXN00205,2025-12-04,CUST006,Rojas PLC,utilities,486.78,credit card
TXN00206,2025-11-22,CUST017,Warren Inc,dining,534.75,credit card
TXN00207,2025-11-17,CUST003,Solis-Mcintyre,entertainment,738.45,credit card
TXN00208,2025-09-18,CUST032,Bennett Inc,groceries,713.9,net banking
TXN00209,2026-04-27,CUST046,"Ramirez, Smith and Wallace",shopping,460.14,debit card
TXN00210,2025-11-05,CUST017,"Carpenter, Walters and Evans",utilities,924.05,debit card
TXN00211,2025-09-30,CUST041,Horn Group,entertainment,598.04,debit card
TXN00212,2026-04-21,CUST019,Richardson-Smith,entertainment,815.25,debit card
TXN00213,2025-11-03,CUST022,Bradford Group,utilities,512.37,credit card
TXN00214,2025-09-18,CUST033,Hodges-Reid,shopping,831.03,credit card
TXN00215,2026-05-22,CUST016,Jackson Inc,dining,572.98,credit card
TXN00216,2026-01-30,CUST002,"Perez, Boyer and Brennan",dining,560.71,net banking
TXN00217,2025-07-15,CUST015,"Nguyen, Rodriguez and Rodriguez",utilities,282.63,credit card
TXN00218,2026-04-19,CUST002,"Austin, Morris and Jackson",entertainment,456.73,net banking
TXN00219,2025-11-08,CUST013,Reyes PLC,travel,183.23,credit card
TXN00220,2025-10-24,CUST016,"Martin, Valencia and Lewis",shopping,718.17,UPI
TXN00221,2026-01-08,CUST026,"Ruiz, Martinez and Dickson",utilities,282.95,credit card
TXN00222,2026-04-14,CUST049,Welch Group,entertainment,521.1,net banking
TXN00223,2025-10-17,CUST004,"Gomez, Wolfe and Lawrence",groceries,523.01,UPI
TXN00224,2026-03-11,CUST047,Dean LLC,shopping,389.64,UPI
TXN00225,2025-10-16,CUST005,"Gamble, Barber and Simpson",entertainment,404.93,debit card
TXN00226,2026-01-30,CUST042,"Zavala, Lawson and Wright",dining,669.11,UPI
TXN00227,2025-07-28,CUST028,Gardner-Tyler,shopping,778.9,net banking
TXN00228,2025-11-24,CUST032,Hutchinson Inc,dining,700.83,net banking
TXN00229,2026-04-04,CUST043,"Brown, Drake and English",dining,510.38,credit card
TXN00230,2026-03-07,CUST033,Hall and Sons,travel,607.1,credit card
TXN00231,2025-09-23,CUST046,Schultz-Walls,utilities,249.28,credit card
TXN00232,2026-01-13,CUST047,Mullen Group,entertainment,830.86,credit card
TXN00233,2026-03-04,CUST046,Wilson-Mayo,utilities,887.91,credit card
TXN00234,2026-03-21,CUST043,Hunt Inc,entertainment,263.81,debit card
TXN00235,2026-01-16,CUST028,Garza Ltd,groceries,326.65,UPI
TXN00236,2025-12-07,CUST041,Johnson and Sons,shopping,577.05,debit card
TXN00237,2025-12-26,CUST002,Taylor and Sons,travel,113.91,UPI
TXN00238,2026-01-11,CUST015,"Chen, Torres and Adams",travel,944.51,credit card
TXN00239,2025-11-15,CUST012,"Miller, Marshall and Duke",entertainment,591.59,debit card
TXN00240,2025-12-07,CUST027,"Lewis, Cooper and Meza",groceries,132.14,net banking
TXN00241,2026-06-05,CUST031,"Hayes, Cabrera and Bailey",dining,538.55,UPI
TXN00242,2025-10-10,CUST003,Cardenas LLC,travel,961.57,UPI
TXN00243,2026-03-13,CUST035,Crane LLC,groceries,540.59,debit card
TXN00244,2026-01-04,CUST025,Brooks-Rhodes,groceries,174.08,UPI
TXN00245,2026-01-12,CUST010,Cook and Sons,travel,726.75,net banking
TXN00246,2025-10-02,CUST013,Ray-Ortiz,utilities,938.79,net banking
TXN00247,2026-05-20,CUST012,Martin Ltd,groceries,510.45,UPI
TXN00248,2026-01-16,CUST033,White PLC,groceries,881.95,credit card
TXN00249,2026-03-25,CUST033,Hayes-Wagner,entertainment,883.1,UPI
TXN00250,2025-08-27,CUST039,Stein-Ortiz,dining,235.26,UPI
TXN00251,2025-10-07,CUST001,"Willis, Powell and King",utilities,577.53,UPI
TXN00252,2025-11-07,CUST012,Watts Ltd,travel,356.81,debit card
TXN00253,2025-12-04,CUST034,Li LLC,utilities,915.09,net banking
TXN00254,2025-06-23,CUST018,"Smith, Butler and Ballard",groceries,147.59,net banking
TXN00255,2025-08-10,CUST037,"Cooper, Vasquez and Baker",shopping,198.95,net banking
TXN00256,2025-12-12,CUST006,Cole-Gray,utilities,934.24,credit card
TXN00257,2026-03-28,CUST027,"White, Duncan and Russell",dining,220.96,net banking
TXN00258,2026-04-13,CUST036,"Peterson, Davenport and Webster",travel,674.02,credit card
TXN00259,2025-06-26,CUST012,"Daniel, Richardson and Espinoza",dining,317.42,debit card
TXN00260,2025-10-20,CUST024,White-Alvarez,entertainment,14.73,credit card
TXN00261,2026-03-12,CUST017,Caldwell-Mendoza,dining,659.51,net banking
TXN00262,2026-05-21,CUST029,Galvan LLC,groceries,811.65,net banking
TXN00263,2025-10-08,CUST031,Baird Ltd,dining,152.71,net banking
TXN00264,2025-10-29,CUST025,Simon-Hodge,groceries,193.39,credit card
TXN00265,2025-07-12,CUST040,Rogers Inc,utilities,32.65,credit card
TXN00266,2025-07-03,CUST018,Flynn Ltd,utilities,624.82,net banking
TXN00267,2025-11-06,CUST029,"Mills, Santos and Woods",dining,707.04,debit card
TXN00268,2025-08-28,CUST016,Jensen-Montes,groceries,494.73,credit card
TXN00269,2026-01-08,CUST026,Stein Inc,utilities,925.96,net banking
TXN00270,2025-07-14,CUST008,Garrison-Rogers,shopping,46.52,net banking
TXN00271,2025-08-20,CUST015,Hendricks PLC,groceries,630.73,net banking
TXN00272,2025-08-30,CUST043,Walker PLC,dining,242.44,UPI
TXN00273,2026-03-10,CUST005,Ruiz-Russo,shopping,381.42,credit card
TXN00274,2025-08-16,CUST038,Collins Inc,dining,765.96,credit card
TXN00275,2026-04-12,CUST032,Koch-Santos,shopping,713.15,net banking
TXN00276,2025-11-07,CUST045,"Roth, Bowen and Green",groceries,230.56,net banking
TXN00277,2026-02-15,CUST002,"Garner, Mann and Mcgee",travel,857.73,net banking
TXN00278,2025-10-22,CUST019,"Hood, Miller and Rodriguez",shopping,875.0,credit card
TXN00279,2026-01-18,CUST009,Hebert-Sosa,groceries,311.4,net banking
TXN00280,2025-12-30,CUST014,"Fry, Perry and Moore",shopping,907.5,credit card
TXN00281,2025-12-11,CUST041,Hubbard PLC,travel,573.83,debit card
TXN00282,2025-10-20,CUST027,Davis-Snyder,travel,128.6,UPI
TXN00283,2025-10-18,CUST044,Gardner Group,entertainment,206.63,credit card
TXN00284,2025-09-01,CUST033,"Patton, Barnes and Jefferson",utilities,112.16,net banking
TXN00285,2025-11-24,CUST020,"Leonard, Davis and Bowman",entertainment,293.12,net banking
TXN00286,2025-09-11,CUST020,Gray-Palmer,groceries,236.84,credit card
TXN00287,2026-05-22,CUST030,Young-Gonzalez,dining,558.17,credit card
TXN00288,2026-05-31,CUST018,Wall Group,groceries,80.95,credit card
TXN00289,2025-07-02,CUST032,Hubbard Ltd,travel,537.91,credit card
TXN00290,2025-07-01,CUST045,Hopkins-Johnson,groceries,217.1,UPI
TXN00291,2026-02-19,CUST037,"Kerr, Foster and Wilkinson",shopping,690.46,net banking
TXN00292,2026-03-11,CUST027,Mckinney PLC,shopping,327.12,debit card
TXN00293,2025-09-19,CUST009,Hogan-Martinez,utilities,889.19,UPI
TXN00294,2025-11-06,CUST006,Mccullough-Rivera,travel,242.21,UPI
TXN00295,2026-03-05,CUST017,Jackson Inc,shopping,857.82,credit card
TXN00296,2025-09-16,CUST044,Davis Inc,shopping,286.09,debit card
TXN00297,2025-09-16,CUST020,"James, Paul and Mathews",travel,398.25,net banking
TXN00298,2026-05-22,CUST032,Atkinson-Douglas,shopping,390.21,net banking
TXN00299,2025-12-17,CUST043,"Smith, Moore and Mitchell",dining,435.74,credit card
TXN00300,2025-09-02,CUST020,Gordon-Gonzales,dining,485.02,UPI
TXN00301,2026-03-03,CUST012,Jenkins-Sherman,groceries,381.98,UPI
TXN00302,2026-02-04,CUST006,Barnett-Olson,utilities,967.48,credit card
TXN00303,2026-03-29,CUST018,Patterson Inc,dining,189.19,net banking
TXN00304,2025-07-29,CUST022,Sullivan LLC,travel,941.37,credit card
TXN00305,2025-11-25,CUST013,May-Kline,utilities,279.47,UPI
TXN00306,2025-11-04,CUST010,Williams-Decker,utilities,466.08,net banking
TXN00307,2026-06-13,CUST012,"Johnson, Garcia and Ellis",dining,322.1,UPI
TXN00308,2025-09-13,CUST022,"Meyer, Smith and Carlson",travel,118.05,credit card
TXN00309,2026-04-11,CUST032,"Jimenez, Jackson and Martinez",travel,310.15,net banking
TXN00310,2025-08-24,CUST010,Salazar LLC,utilities,442.17,credit card
TXN00311,2025-09-10,CUST042,Poole PLC,travel,398.14,credit card
TXN00312,2025-06-24,CUST018,Torres-Cross,entertainment,74.81,debit card
TXN00313,2026-05-08,CUST008,Garcia-Larson,dining,933.38,UPI
TXN00314,2025-07-23,CUST008,"Baker, Murphy and Carroll",groceries,926.64,net banking
TXN00315,2025-12-23,CUST013,Duran-Boyd,travel,932.19,net banking
TXN00316,2026-03-13,CUST032,Weeks Inc,groceries,514.98,credit card
TXN00317,2026-03-06,CUST043,Thompson Group,shopping,857.87,net banking
TXN00318,2026-05-25,CUST003,"Hicks, Johnson and Adams",shopping,81.16,net banking
TXN00319,2026-02-21,CUST032,"Herrera, Beltran and Schwartz",groceries,462.11,credit card
TXN00320,2025-07-02,CUST040,Arnold PLC,entertainment,459.76,debit card
TXN00321,2026-04-24,CUST027,"Arias, Avila and Hall",utilities,867.72,UPI
TXN00322,2026-03-22,CUST042,Johnson Inc,dining,145.87,net banking
TXN00323,2026-02-26,CUST004,Russell Inc,dining,411.64,debit card
TXN00324,2025-10-15,CUST049,"Cooper, Reed and Dickerson",dining,805.25,net banking
TXN00325,2026-06-10,CUST029,"Doyle, Adams and Boone",entertainment,314.53,net banking
TXN00326,2025-06-30,CUST012,Barber Group,travel,357.54,UPI
TXN00327,2025-08-26,CUST016,"Mack, Perez and Jones",entertainment,322.65,net banking
TXN00328,2025-07-23,CUST035,"Riley, Adams and Wagner",utilities,19.9,UPI
TXN00329,2025-07-24,CUST020,"Morgan, Knapp and Morrison",dining,207.33,UPI
TXN00330,2026-05-17,CUST014,Parker and Sons,entertainment,74.85,debit card
TXN00331,2026-03-27,CUST024,Barker Inc,shopping,485.18,credit card
TXN00332,2026-03-11,CUST019,Baldwin-Howe,dining,382.74,credit card
TXN00333,2025-08-29,CUST050,"Davis, Valenzuela and Gomez",shopping,78.92,debit card
TXN00334,2026-06-14,CUST012,"Gonzalez, Cummings and Ballard",entertainment,583.03,UPI
TXN00335,2026-01-11,CUST041,Price-Bullock,shopping,806.71,credit card
TXN00336,2025-09-14,CUST032,Peterson LLC,travel,154.44,net banking
TXN00337,2025-10-10,CUST037,Miller-Washington,dining,357.82,net banking
TXN00338,2025-10-13,CUST034,"Johnson, Rodriguez and Rodriguez",dining,338.47,net banking
TXN00339,2025-06-26,CUST040,"Mann, Saunders and Williams",shopping,688.96,credit card
TXN00340,2026-01-30,CUST033,Davis-Meyers,shopping,702.67,debit card
TXN00341,2025-06-23,CUST009,Heath-Miller,groceries,740.02,credit card
TXN00342,2025-09-29,CUST038,"Morris, James and Clark",utilities,930.11,UPI
TXN00343,2026-01-29,CUST037,Hicks LLC,shopping,681.38,credit card
